headline_text,category
Southern European bond yields hit multi-week lows,3
BRIEF-LG sells its entire stake in unit LG Life Sciences,6
BRIEF-Golden Wheel Tiandi says unit confirms subscription of new shares of Xiamen International Bank,3
BRIEF-Sunshine 100 China Holdings Dec contracted sales of RMB1.76 bln,3
Euro zone stocks start 2017 with new one-year high. For more see the European equities LiveMarkets blog,3
China Stocks-Factors to watch on Tuesday,3
BRIEF-Hong Kong Education Intl investments entered into sale and purchase agreement,7
BRIEF-Platige Image sets conditions to end investment in Juice,3
European shares hit highs as PMI data comes as New Year's gift,3
Denmark awaiting extradition order from South Korea for Chung Yoo-ra,4
Britain to build 17 towns and villages to ease housing squeeze,4
Myanmar vows action on police abuse after video of beating emerges,4
BRIEF-CCC Dec. 2016 revenue up 50 percent YoY,3
BRIEF-Oriental Bank of Commerce cuts overnight MCLR to 8.40 pct,3
Oil prices rise as markets eye OPEC,3
Preview - Blackhawks at Blues,1
Islamic State claims blast in Baghdad's Sadr City,4
BRIEF-Shenzhen Worldunion's property sales through agency at 510.8 bln yuan as of end-2016,3
BRIEF-Casta Diva Group buys 70 pct stake in Anteprima Video via cash,3
MOVES-Norway's c.bank appoints new Chief Investment Officer for oil fund,3
PRESS DIGEST- British Business - Jan 3,3
Indian court bans politicians from using religion,4
Iraqi forces rely on drones as they advance in eastern Mosul,4
Bitcoin jumps above $1,3
New car sales rise 9.3 pct in Spain in December,3
Singapore Q4 private home prices -0.4 pct q/q - housing authority,3
UPDATE 1-Germany's E.ON and RWE to foot nuclear waste bill in one hit -CEOs,3
BRIEF-Actinogen Medical receives FDA approval to commence alzheimer's disease clinical trial,5
China navy confirms carrier conducted drills in South China Sea,4
BRIEF-Industrial Bank of Taiwan changes name to O-Bank Co Ltd,3
BRIEF-Aon Hewitt Consulting announces leadership change in greater China,4
BRIEF-AutoBank enters into indefinite term loan agreement,3
BRIEF-Guangxi Hechi Sinomine's shares to halt trade,3
BRIEF-Henry Group Holdings says trading in shares of will be halted,3
Britain's Labour leader could quit before next election - union boss,4
BRIEF-Speedy Global says trading in shares of co will be halted,3
BRIEF-Shandong Delisi Food reprimanded by exchange on information disclosure issues,3
BRIEF-HI-LIGHT TEK sells Xiamen-based unit for 16.7 mln yuan,3
BRIEF-Medtecs International Corporation announces sale of properties in Philippines by group,3
UPDATE 1-Bitcoin jumps above $1,3
BRIEF-Advance Synergy says fire incident occurred at Holiday Villa Arosa,4
BRIEF-Transtema buys provider of services and products in fiber optics,6
BRIEF-G bits Network Technology Xiamen's shares to debut trade on Jan 4,6
Federer makes smooth return to action in Hopman Cup,1
PRECIOUS-Gold edges up despite firm dollar,3
BRIEF-Comtec Solar Systems Group updates on proposed disposal of target assets of Comtec Malaysia,6
BRIEF-Philweb Corp sold its investment in Acentic GMBH to Niantic Holding GMBH,5
BRIEF-Serodus says primary endpoint reached by SER150 Phase 2a study in Diabetic Nephropathy,3
BRIEF-CIFI Holdings updates on facility agreement with specific performance covenants,3
BRIEF-Velpic to Deliver Learning Management System to Government Customer,6
BRIEF-Balrampur Chini Mills gets members' nod for share buyback worth up to 1.75 bln rupees,3
BRIEF-Jiashili Group says Lee Ping Nam resigns as executive director,3
India's infrastructure output growth slows to 4.9 pct in Nov y/y - govt,3
BRIEF-Jiangsu King's Luck sees 2016 profit up 5-15 pct on high-end liquor sales,3
BRIEF-BME trading down 32 pct in 2016 vs year ago,3
BRIEF-Sinosoft Technology clarifies on second Zhongkui report,6
Israeli police to question Netanyahu over alleged gifts - media,4
BRIEF-Aboitiz Power says Aboitiz Renewables signs MOU with BDO Unibank And San Carlos Sun Power,3
Daughter of South Korean leader's friend arrested in Denmark amid graft probe,4
PRESS DIGEST- Financial Times - Jan 3,3
BRIEF-Baolihua Meida Nylon's shares to halt trade in Shenzhen,3
BRIEF-Imperial Pacific Int'l announces Temporary casino's unaudited VIP table games rolling for 2016,1
BRIEF-Jiayuan International says unit enters into equity transfer framework agreement,3
BRIEF-Eco Bio Holdings signs contract worth 5.14 bln won,3
BRIEF-Murray River says China sales for FY17 to be below 2 pct of total sales,3
Cricket-Warner hits ton before lunch on first day of third test,1
FACTBOX-Cricket-Centuries before lunch on opening day of a test match,1
BRIEF-Blackwall says Blackwall Property Trust enters into agreement to purchase office building in Hobart CBD,6
Sri Lankan rupee ends thin session weaker,3
GRAINS-Soybeans firm in first day of trading in 2017,3
BRIEF-Andhra bank cuts overnight MCLR to 8.45 pct,3
BRIEF-Beibu Gulf Tourism appoints president,4
Dollar recovers from two-week lows in holiday-thinned market,3
BRIEF-Bajaj Hindusthan Sugar considers seeking members' nod for sale of co-generation business,3
BRIEF-Sunrise International Development to issue 11.5 mln new shares for working capital replenish,3
BRIEF-Zhongtian Urban Development signs agreement on Guiyang project,4
China December factory activity rises to near four-year high - Caixin PMI,3
BRIEF-iStreet Network says Mangal Keshav Capital cuts stake in co by 2.11 pct,3
Australia shares rise to 17-month high in strong start to 2017,3
Suicide bombers attack peacekeepers' Somali HQ,4
Sri Lankan shares fall as Keells draws selling,3
BRIEF-Guangdong Baolihua gets regulatory approval to set up private bank,3
EM ASIA FX-Yuan  Singapore dollar edges up,3
BRIEF-FCA and Google collaborate on a uconnect system concept powered by android,6
UPDATE 3-Peru demands cash from Odebrecht ahead of plea deal talks,3
BRIEF-HTM International to issue 1st series secured convertible corporation bonds worth T$120 mln,3
Car bombing in Baghdad's Sadr City kills at least 24 people and wounds 67,4
BRIEF-Basware updates on personnel costs and 2016 reporting,3
BRIEF-Monro Muffler Brake appoints Brian J. D'ambrosia as CFO,3
Saudi cabinet stresses need to implement oil output cut - statement,4
CORRECTED-FOREX-Dollar resumes its ascent,3
New Year,2
China's economy could grow 6.5 pct in 2017,3
Afghan minister suspended over phone tax investigation,4
FOREX-Dollar holds firm,3
BRIEF-Union Europea de Inversiones completes debt restructuring process,3
BRIEF-AVIC Real Estate Holding announces shareholding structure change,3
TAKE A LOOK-Asia GDP - Singapore Q4 GDP gets boost from manufacturing,3
Argentina decrees telecoms rule changes to increase competition,4
BRIEF-TVS Motor December total sales down about 8.5 pct,3
China December factory activity rises to near 4-year high - Caixin PMI,3
Evergrande raises $4.3 bln new capital for its China backdoor listing,3
Egyptian judge facing corruption charge hangs himself - lawyer,4
BRIEF-Shenzhen Quanxinhao raises stake in finance holdings firm to 64.3 pct,3
BRIEF-Atlas Jewellery gets notice from IT dept post assessment for assessment years 2014-15,4
BRIEF-China National Accord Medicines unit to set up 51-pct-owned supply chain service JV,3
BRIEF-Tangrenshen Group gets regulatory approval to acquire assets,3
UPDATE 2-Indian banks aim to boost credit growth with sharp rate cuts,3
BRIEF-China National Accord Medicines unit to set up 51-pct-owned medical tech JV,5
MEDIA-Indian PSUs seek exemption from paying huge dividends to govt.- Economic Times,3
BRIEF-Spain to sell up to 4.75 bln eur in bonds on Thursday,3
CORRECTED-BRIEF-Shanxi Yongdong Chemistry gets regalatory approval to set up bank with partners,3
Islamic State claims Istanbul attack,4
Trump says China 'won't help' with North Korea,3
BRIEF-China National Accord Medicines to raise stake in Zhuhai pharmaceutical firm to 100 pct from 10 pct,5
MEDIA-Everstone invests $35 mln in India's OmniActive Health Tech - Economic Times,5
Indian banks aim to boost credit growth with sharp rate cuts,3
MEDIA-India's aviation regulator asks aircraft leasing cos to pay more tax on imported planes - Economic Times,4
